"DID","Start","End","Size","R/W","Field Name","Type","Units","Scale Factor","Contents","Description"
"64110","281","281","1","R/W","OutBack_AGS_Generator_Type","uint16","Enumerated","N/A","Programmable","0=AC Gen, 1=DC Gen, 2=No Gen"
"64110","282","282","1","R/W","OutBack_AGS_DC_Gen 
_Absorb_Voltage","uint16","Volts","OutBack
_Voltage_SF","Programmable","DC Generator Absorb Voltage"
"64110","283","283","1","R/W","OutBack_AGS_DC_Gen 
_Absorb_Time","uint16","Hour","OutBack
_Hour_SF","Programmable","DC Generator Absorb Time"
"64110","284","284","1","R/W","OutBack_AGS_Fault_Time","uint16","Minutes","N/A","Programmable","AGS Generator fault time delay"
"64110","285","285","1","R/W","OutBack_AGS_Gen_Cool 
_Down_Time","uint16","Minutes","N/A","Programmable","AGS Generator Cool Down Time"
"64110","286","286","1","R/W","OutBack_AGS_Gen_Warm_Up
_Time","uint16","Minutes","N/A","Programmable","AGS Generator Warm Up Time"
"64110","287","287","1","R/W","OutBack_AGS_Generator 
_Exercise_Mode","uint16","Enumerated","N/A","Programmable","0=Disabled, 1=Enabled"
"64110","288","288","1","R/W","OutBack_AGS_Exercise 
_Start_Hour","uint16","Hour","N/A","Programmable","Exercise Start Hour 0-23"
"64110","289","289","1","R/W","OutBack_AGS_Exercise 
_Start_Minute","uint16","Minutes","N/A","Programmable","Exercise Start Minute 0-59"
"64110","290","290","1","R/W","OutBack_AGS_Exercise_Day","uint16","Enumerated","N/A","Programmable","0=Sun, 1=Mon, 2=Tue, 3=Wed, 4=Thr, 
5=Fri, 6=Sat"
"64110","291","291","1","R/W","OutBack_AGS_Exercise_Period","uint16","Minutes","N/A","Programmable","Exercise Period 1-240 minutes"
"64110","292","292","1","R/W","OutBack_AGS_Exercise_Interval","uint16","Weeks","N/A","Programmable","Exercise interval 1-8 Weeks"
"64110","293","293","1","R/W","OutBack_AGS_Sell_Mode","uint16","Enumerated","N/A","Programmable","Sell During Generator Exercise Period, 
0=Selling Enabled, 1=Selling Disabled"
"64110","294","294","1","R/W","OutBack_AGS_2_Min 
_Start_Mode","uint16","Enumerated","N/A","Programmable","0=Disabled, 1=Enabled"
"64110","295","295","1","R/W","OutBack_AGS_2_Min 
_Start_Voltage","uint16","Volts","OutBack
_Voltage_SF","Programmable","Two Minute AGS Start Voltage"
"64110","296","296","1","R/W","OutBack_AGS_2_Hour 
_Start_Mode","uint16","Enumerated","N/A","Programmable","0=Disabled, 1=Enabled"
"64110","297","297","1","R/W","OutBack_AGS_2_Hour 
_Start_Voltage","uint16","Volts","OutBack
_Voltage_SF","Programmable","Two Hour AGS Start Voltage"
"64110","298","298","1","R/W","OutBack_AGS_24_Hour 
_Start_Mode","uint16","Enumerated","N/A","Programmable","0=Disabled, 1=Enabled"
"64110","299","299","1","R/W","OutBack_AGS_24_Hour 
_Start_Voltage","uint16","Volts","OutBack
_Voltage_SF","Programmable","Twenty Four Hour AGS Start Voltage"
"64110","300","300","1","R/W","OutBack_AGS_Load 
_Start_Mode","uint16","Enumerated","N/A","Programmable","0=Disabled, 1=Enabled"
"64110","301","301","1","R/W","OutBack_AGS_Load_Start_kW","uint16","kWatts","N/A","Programmable","Load Start kWatts"
"64110","302","302","1","R/W","OutBack_AGS_Load 
_Start_Delay","uint16","Minutes","N/A","Programmable","Load Start Delay"
"64110","303","303","1","R/W","OutBack_AGS_Load_Stop_kW","uint16","kWatts","N/A","Programmable","Load Stop kWatts"
"64110","304","304","1","R/W","OutBack_AGS_Load 
_Stop_Delay","uint16","Minutes","N/A","Programmable","Load Stop Delay"
"64110","305","305","1","R/W","OutBack_AGS_SOC 
_Start_Mode","uint16","Enumerated","N/A","Programmable","0=Disabled, 1=Enabled"
"64110","306","306","1","R/W","OutBack_AGS_SOC 
_Start_Percentage","uint16","Percent","N/A","Programmable","AGS SOC Start Percentage"
"64110","307","307","1","R/W","OutBack_AGS_SOC 
_Stop_Percentage","uint16","Percent","N/A","Programmable","AGS SOC Stop Percentage"
"64110","308","308","1","R/W","OutBack_AGS_Enable_Full 
_Charge_Mode","uint16","Enumerated","N/A","Programmable","0=Disabled, 1=Enabled"
"64110","309","309","1","R/W","OutBack_AGS_Full 
_Charge_Interval","uint16","Days","N/A","Programmable","AGS SOC Full Charge Interval"
"64110","310","310","1","R/W","OutBack_AGS_Must_Run_Mode","uint16","Enumerated","N/A","Programmable","0=Disabled, 1=Enabled"
"64110","311","311","1","R/W","OutBack_AGS_Must_Run 
_Weekday_Start_Hour","uint16","Hour","N/A","Programmable","AGS Must Run Weekday Start Hour 0-23"
"64110","312","312","1","R/W","OutBack_AGS_Must_Run 
_Weekday_Start_Minute","uint16","Minute","N/A","Programmable","AGS Must Run Weekday Start Minute 0-59"
"64110","313","313","1","R/W","OutBack_AGS_Must_Run 
_Weekday_Stop_Hour","uint16","Hour","N/A","Programmable","AGS Must Run Weekday Stop Hour 0-23"
"64110","314","314","1","R/W","OutBack_AGS_Must_Run 
_Weekday_Stop_Minute","uint16","Minute","N/A","Programmable","AGS Must Run Weekday Stop Minute 0-59"
"64110","315","315","1","R/W","OutBack_AGS_Must_Run 
_Weekend_Start_Hour","uint16","Hour","N/A","Programmable","AGS Must Run Weekend Start Hour 0-23"
"64110","316","316","1","R/W","OutBack_AGS_Must_Run 
_Weekend_Start_Minute","uint16","Minute","N/A","Programmable","AGS Must Run Weekend Start Minute 0-59"
"64110","317","317","1","R/W","OutBack_AGS_Must_Run 
_Weekend_Stop_Hour","uint16","Hour","N/A","Programmable","AGS Must Run Weekend Stop Hour 0-23"
"64110","318","318","1","R/W","OutBack_AGS_Must_Run 
_Weekend_Stop_Minute","uint16","Minute","N/A","Programmable","AGS Must Run Weekend Stop Minute 0-59"
"64110","319","319","1","R/W","OutBack_AGS_Quiet 
_Time_Mode","uint16","Enumerated","N/A","Programmable","0=Disabled, 1=Enabled"
"64110","320","320","1","R/W","OutBack_AGS_Quiet_Time 
_Weekday_Start_Hour","uint16","Hour","N/A","Programmable","AGS Quiet Time Weekday Start Hour 0-23"
"64110","321","321","1","R/W","OutBack_AGS_Quiet_Time 
_Weekday_Start_Minute","uint16","Minute","N/A","Programmable","AGS Quiet Time Weekday Start Minute 0-59"
