"DID","Start","End","Size","R/W","Field Name","Type","Units","Scale Factor","Contents","Description"
"—","—","—","—","—","—","—","—","—","0x0001","High limit last write"
"—","—","—","—","—","—","—","—","—","0x0002","Low limit last write"
"—","—","—","—","—","—","—","—","—","0x0004","Last write invalid"
"—","—","—","—","—","—","—","—","—","0x0008","DHCP failed"
"—","—","—","—","—","—","—","—","—","0x0010","DNS resolve failure"
"—","—","—","—","—","—","—","—","—","0x0020","SMTP authorization failed"
"—","—","—","—","—","—","—","—","—","0x0040","SMTP send failed"
"—","—","—","—","—","—","—","—","—","0x0080","FTP Error"
"—","—","—","—","—","—","—","—","—","0x0100","SD-Card Error"
"—","—","—","—","—","—","—","—","—","0x0200","SNTP failure"
"—","—","—","—","—","—","—","—","—","0x0400","Write while locked"
"—","—","—","—","—","—","—","—","—","0x0800","Device firmware updating not supported"
"—","—","—","—","—","—","—","—","—","0x1000","Device firmware update file not found"
"—","—","—","—","—","—","—","—","—","0x2000","Device firmware update file invalid"
"—","—","—","—","—","—","—","—","—","0x4000","Device firmware update failure"
