"DID","Start","End","Size","R/W","Name","Type","Units","Scale Factor","Contents","Description"
"64117","43","43","1","R","GS_Single_Output_kW","uint16","kW","GS_Single
_kWh_SF","Measured","Output kW"
"64117","44","44","1","R","GS_Single_Buy_kW","uint16","kW","GS_Single
_kWh_SF","Measured","Buy kW"
"64117","45","45","1","R","GS_Single_Sell_kW","uint16","kW","GS_Single
_kWh_SF","Measured","Sell kW"
"64117","46","46","1","R","GS_Single_Charge_kW","uint16","kW","GS_Single
_kWh_SF","Measured","Charger kW"
"64117","47","47","1","R","GS_Single_Load_kW","uint16","kW","GS_Single
_kWh_SF","Measured","Load kW"
"64117","48","48","1","R","GS_Single_AC_Couple_kW","uint16","kW","GS_Single
_kWh_SF","Measured","AC Coupled kW"
