"DID","Start","End","Size","R/W","Field Name","Type","Units","Scale Factor","Contents","Description"
"—","—","—","—","—","—","—","—","—","0x0001","Low AC output voltage"
"—","—","—","—","—","—","—","—","—","0x0002","Stacking error"
"—","—","—","—","—","—","—","—","—","0x0004","Over temperature error"
"—","—","—","—","—","—","—","—","—","0x0008","Low battery voltage"
"—","—","—","—","—","—","—","—","—","0x0010","Phase loss"
"—","—","—","—","—","—","—","—","—","0x0020","High battery voltage"
"—","—","—","—","—","—","—","—","—","0x0040","AC output shorted"
"—","—","—","—","—","—","—","—","—","0x0080","AC backfeed"
