"DID","Start","End","Size","R/W","Name","Type","Units","Scale Factor","Contents","Description"
"64118","51","51","1","R","FN_Shunt_A_Historical 
_Removed_From_Battery_AH","uint16","AH","N/A","Read Only","Shunt A historical removed from battery AH"
"64118","52","52","1","R","FN_Shunt_A_Historical 
_Removed_From_Battery_kWh","uint16","kWh","FN_kWh_SF","Read Only","Shunt A historical removed from battery 
kWh"
"64118","53","53","1","R","FN_Shunt_A_Maximum 
_Charge_Rate","uint16","Amps","FN_DC
_Current_SF","Read Only","Shunt A historical maximum charge rate 
Amps"
"64118","54","54","1","R","FN_Shunt_A_Maximum 
_Charge_Rate_kW","uint16","kW","FN_kWh_SF","Read Only","Shunt A historical maximum charge rate kW"
"64118","55","55","1","R","FN_Shunt_A_Maximum 
_Discharge_Rate","int16","Amps","FN_DC
_Current_SF","Read Only","Shunt A historical maximum discharge rate 
Amps"
"64118","56","56","1","R","FN_Shunt_A_Maximum 
_Discharge_Rate_kW","int16","kW","FN_kWh_SF","Read Only","Shunt A historical maximum discharge rate 
kW"
"64118","57","57","1","R","FN_Shunt_B_Historical 
_Returned_To_Battery_AH","uint16","AH","N/A","Read Only","Shunt B historical returned to battery AH"
"64118","58","58","1","R","FN_Shunt_B_Historical 
_Returned_To_Battery_kWh","uint16","kWh","FN_kWh_SF","Read Only","Shunt B historical returned to battery kWh"
"64118","59","59","1","R","FN_Shunt_B_Historical 
_Removed_From_Battery_AH","uint16","AH","N/A","Read Only","Shunt B historical removed from battery AH"
"64118","60","60","1","R","FN_Shunt_B_Historical 
_Removed_From_Battery_kWh","uint16","kWh","FN_kWh_SF","Read Only","Shunt B historical removed from battery 
kWh"
"64118","61","61","1","R","FN_Shunt_B_Maximum 
_Charge_Rate","uint16","Amps","FN_DC
_Current_SF","Read Only","Shunt B historical maximum charge rate 
Amps"
"64118","62","62","1","R","FN_Shunt_B_Maximum 
_Charge_Rate_kW","uint16","kW","FN_kWh_SF","Read Only","Shunt B historical maximum charge rate kW"
"64118","63","63","1","R","FN_Shunt_B_Maximum 
_Discharge_Rate","int16","Amps","FN_DC
_Current_SF","Read Only","Shunt B historical maximum discharge rate 
Amps"
"64118","64","64","1","R","FN_Shunt_B_Maximum 
_Discharge_Rate_kW","int16","kW","FN_kWh_SF","Read Only","Shunt B historical maximum discharge rate 
kW"
"64118","65","65","1","R","FN_Shunt_C_Historical 
_Returned_To_Battery_AH","uint16","AH","N/A","Read Only","Shunt C historical returned to battery AH"
"64118","66","66","1","R","FN_Shunt_C_Historical 
_Returned_To_Battery_kWh","uint16","kWh","FN_kWh_SF","Read Only","Shunt C historical returned to battery kWh"
"64118","67","67","1","R","FN_Shunt_C_Historical 
_Removed_From_Battery_AH","uint16","AH","N/A","Read Only","Shunt C historical removed from battery AH"
"64118","68","68","1","R","FN_Shunt_C_Historical 
_Removed_From_Battery_kWh","uint16","kWh","FN_kWh_SF","Read Only","Shunt C historical removed from battery 
kWh"
"64118","69","69","1","R","FN_Shunt_C_Maximum 
_Charge_Rate","uint16","Amps","FN_DC
_Current_SF","Read Only","Shunt C historical maximum charge rate 
Amps"
"64118","70","70","1","R","FN_Shunt_C_Maximum 
_Charge_Rate_kW","uint16","kW","FN_kWh_SF","Read Only","Shunt C historical maximum charge rate kW"
"64118","71","71","1","R","FN_Shunt_C_Maximum 
_Discharge_Rate","int16","Amps","FN_DC
_Current_SF","Read Only","Shunt C historical maximum discharge rate 
Amps"
"64118","72","72","1","R","FN_Shunt_C_Maximum 
_Discharge_Rate_kW","int16","kW","FN_kWh_SF","Read Only","Shunt C historical maximum discharge rate 
kW"
"64118","73","73","1","R","FN_Shunt_A_Reset_Maximum
_Data","uint16","N/A","N/A","Read Only","Read value needed to reset shunt A 
maximum data"
"64118","74","74","1","W","FN_Shunt_A_Reset_Maximum
_Data_Write_Complement","uint16","N/A","N/A","Write Only","Write value's complement to reset shunt A 
maximum data"
"64118","75","75","1","R","FN_Shunt_B_Reset_Maximum
_Data","uint16","N/A","N/A","Read Only","Read value needed to reset shunt B 
maximum data"
"64118","76","76","1","W","FN_Shunt_B_Reset_Maximum
_Data_Write_Complement","uint16","N/A","N/A","Write Only","Write value's complement to reset shunt B 
maximum data"
"64118","77","77","1","R","FN_Shunt_C_Reset_Maximum
_Data","uint16","N/A","N/A","Read Only","Read value needed to reset shunt C 
maximum data"
"64118","78","78","1","W","FN_Shunt_C_Reset_Maximum
_Data_Write_Complement","uint16","N/A","N/A","Write Only","Write value's complement to reset shunt C 
maximum data"
