"DID","Start","End","Size","R/W","Name","Type","Units","Scale Factor","Contents","Description"
"64118","29","29","1","R","FN_Todays_Minimum_SOC","uint16","Percent","N/A","Read Only","Todays minimum SOC"
"64118","30","30","1","R","FN_Todays_Maximum_SOC","uint16","Percent","N/A","Read Only","Todays maximum SOC"
"64118","31","31","1","R","FN_Todays_NET_Input_AH","uint16","AH","N/A","Read Only","Todays NET input AH"
"64118","32","32","1","R","FN_Todays_NET_Input_kWh","uint16","kWh","FN_kWh_SF","Read Only","Todays NET input kWh"
"64118","33","33","1","R","FN_Todays_NET_Output_AH","uint16","AH","N/A","Read Only","Todays NET output AH"
"64118","34","34","1","R","FN_Todays_NET_Output_kWh","uint16","kWh","FN_kWh_SF","Read Only","Todays NET output kWh"
"64118","35","35","1","R","FN_Todays_NET_Battery_AH","int16","AH","N/A","Read Only","Todays NET battery AH"
"64118","36","36","1","R","FN_Todays_NET_Battery_kWh","int16","kWh","FN_kWh_SF","Read Only","Todays NET battery kWh"
"64118","37","37","1","R","FN_Charge_Factor_Corrected
_NET_Battery_AH","int16","AH","N/A","Read Only","Charge factor corrected NET battery AH"
"64118","38","38","1","R","FN_Charge_Factor_Corrected
_NET_Battery_kWh","int16","kWh","FN_kWh_SF","Read Only","Charge factor corrected NET battery kWh"
"64118","39","39","1","R","FN_Todays_Minimum_Battery
_Voltage","uint16","Volts","FN_DC
_Voltage_SF","Programmable","Todays minimum battery voltage"
"64118","40","41","2","R","FN_Todays_Minimum_Battery
_Time","uint32","Seconds","N/A","Read Only","Todays minimum battery voltage time UTC"
"64118","42","42","1","R","FN_Todays_Maximum 
_Battery_Voltage","uint16","Volts","FN_DC
_Voltage_SF","Programmable","Todays maximum battery voltage"
"64118","43","44","2","R","FN_Todays_Maximum 
_Battery_Time","uint32","Seconds","N/A","Read Only","Todays maximum battery voltage time UTC"
"64118","45","45","1","R","FN_Cycle_Charge_Factor","uint16","Percent","N/A","Read Only","Cycle Charge Factor"
"64118","46","46","1","R","FN_Cycle_kWh_Charge 
_Efficiency","uint16","Percent","N/A","Read Only","Cycle kWh Charge Efficiency"
"64118","47","47","1","R","FN_Total_Days_At_100 
_Percent","uint16","Days","FN_Time_SF","Programmable","Total days at 100% charged"
"64118","48","48","1","R","FN_Lifetime_kAH_Removed","uint16","AH","N/A","Programmable","Lifetime kAH removed from battery"
"64118","49","49","1","R","FN_Shunt_A_Historical 
_Returned_To_Battery_AH","uint16","AH","N/A","Read Only","Shunt A historical returned to battery AH"
"64118","50","50","1","R","FN_Shunt_A_Historical 
_Returned_To_Battery_kWh","uint16","kWh","FN_kWh_SF","Read Only","Shunt A historical returned to battery kWh"
